date,kunlun_2280_sales,server_2288hv7_sales,server_2288hv7_uses_pac900s12_b2_1,pac900s12_b2_1_consumption,pac900s12_b2_1_inventory,pac900s12_b2_1_procurement,is_decline_period
2024-08-07,108,92,0,108,123,105,False
2024-08-08,79,68,0,79,141,97,False
2024-08-09,107,86,0,107,181,147,False
2024-08-10,108,93,0,108,147,74,False
2024-08-11,109,76,0,109,139,101,False
2024-08-12,88,77,0,88,133,82,False
2024-08-13,101,107,0,101,93,61,False
2024-08-14,110,60,0,110,93,110,False
2024-08-15,116,80,0,116,75,98,False
2024-08-16,89,88,0,89,91,105,False
2024-08-17,103,80,0,103,94,106,False
2024-08-18,132,87,0,132,41,79,False
2024-08-19,102,72,0,102,76,137,False
2024-08-20,88,78,0,88,118,130,False
2024-08-21,112,65,0,112,119,113,False
2024-08-22,92,72,0,92,182,155,False
2024-08-23,106,64,0,106,149,73,False
2024-08-24,131,92,0,131,85,67,False
2024-08-25,92,95,0,92,98,105,False
2024-08-26,106,89,0,106,93,101,False
2024-08-27,99,41,0,99,93,99,False
2024-08-28,96,65,0,96,149,152,False
2024-08-29,78,74,0,78,162,91,False
2024-08-30,121,62,0,121,148,107,False
2024-08-31,100,68,0,100,144,96,False
2024-09-01,102,72,0,102,133,91,False
2024-09-02,94,81,0,94,138,99,False
2024-09-03,123,65,0,123,136,121,False
2024-09-04,70,78,0,70,164,98,False
2024-09-05,104,72,0,104,146,86,False
2024-09-06,92,72,0,92,156,102,False
2024-09-07,105,71,0,105,154,103,False
2024-09-08,104,89,0,104,149,99,False
2024-09-09,87,73,0,87,163,101,False
2024-09-10,109,79,0,109,145,91,False
2024-09-11,119,72,0,119,124,98,False
2024-09-12,96,77,0,96,134,106,False
2024-09-13,112,89,0,112,131,109,False
2024-09-14,100,88,0,100,116,85,False
2024-09-15,104,78,0,104,133,121,False
2024-09-16,108,70,0,108,146,121,False
2024-09-17,84,65,0,84,169,107,False
2024-09-18,111,87,0,111,157,99,False
2024-09-19,99,69,0,99,149,91,False
2024-09-20,89,91,0,89,147,87,False
2024-09-21,87,76,0,87,156,96,False
2024-09-22,91,70,0,91,158,93,False
2024-09-23,103,73,0,103,137,82,False
2024-09-24,103,62,0,103,102,68,False
2024-09-25,89,77,0,89,139,126,False
2024-09-26,122,90,0,122,104,87,False
2024-09-27,99,67,0,99,124,119,False
2024-09-28,95,83,0,95,106,77,False
2024-09-29,107,98,0,107,116,117,False
2024-09-30,106,88,0,106,121,111,False
2024-10-01,103,80,0,103,109,91,False
2024-10-02,88,80,0,88,150,129,False
2024-10-03,121,91,0,121,151,122,False
2024-10-04,88,90,0,88,155,92,False
2024-10-05,132,70,0,132,100,77,False
2024-10-06,91,54,0,91,118,109,False
2024-10-07,88,81,0,88,156,126,False
2024-10-08,128,91,0,128,109,81,False
2024-10-09,86,85,0,86,116,93,False
2024-10-10,127,94,0,127,99,110,False
2024-10-11,74,96,0,74,142,117,False
2024-10-12,118,60,0,118,105,81,False
2024-10-13,100,80,0,100,115,110,False
2024-10-14,109,67,0,109,123,117,False
2024-10-15,101,86,0,101,122,100,False
2024-10-16,83,61,0,83,148,109,False
2024-10-17,104,71,0,104,157,113,False
2024-10-18,101,94,0,101,147,91,False
2024-10-19,130,101,0,130,103,86,False
2024-10-20,114,87,0,114,136,147,False
2024-10-21,85,88,0,85,156,105,False
2024-10-22,73,65,0,73,142,59,False
2024-10-23,95,88,0,95,159,112,False
2024-10-24,101,99,0,101,127,69,False
2024-10-25,74,79,0,74,148,95,False
2024-10-26,99,55,0,99,137,88,False
2024-10-27,80,88,0,80,152,95,False
2024-10-28,85,73,0,85,141,74,False
2024-10-29,99,91,0,99,117,75,False
2024-10-30,107,73,0,107,114,104,False
2024-10-31,98,67,0,98,124,108,False
2024-11-01,49,103,0,49,165,90,True
2024-11-02,53,82,0,53,170,58,True
2024-11-03,58,87,0,58,183,71,True
2024-11-04,55,73,0,55,183,55,True
2024-11-05,39,61,0,39,224,80,True
2024-11-06,74,77,0,74,218,68,True
2024-11-07,62,116,0,62,232,76,True
2024-11-08,58,68,0,58,209,35,True
2024-11-09,61,70,0,61,186,38,True
2024-11-10,54,67,0,54,217,85,True
2024-11-11,67,79,0,67,232,82,True
2024-11-12,60,69,0,60,254,82,True
2024-11-13,64,67,0,64,247,57,True
2024-11-14,52,63,0,52,268,73,True
2024-11-15,77,63,0,77,259,68,True
2024-11-16,54,74,0,54,256,51,True
2024-11-17,52,80,0,52,251,47,True
2024-11-18,62,79,0,62,245,56,True
2024-11-19,51,73,0,51,265,71,True
2024-11-20,64,68,0,64,262,61,True
2024-11-21,66,59,0,66,264,68,True
2024-11-22,54,86,0,54,258,48,True
2024-11-23,43,60,0,43,275,60,True
2024-11-24,62,69,0,62,282,69,True
2024-11-25,45,79,0,45,278,41,True
2024-11-26,54,80,0,54,271,47,True
2024-11-27,56,92,0,56,266,51,True
2024-11-28,67,66,0,67,266,67,True
2024-11-29,72,50,0,72,242,48,True
2024-11-30,65,77,0,65,242,65,True
2024-12-01,54,81,0,54,245,57,True
2024-12-02,70,83,0,70,240,65,True
2024-12-03,56,74,0,56,237,53,True
2024-12-04,63,74,0,63,238,64,True
2024-12-05,78,90,0,78,215,55,True
2024-12-06,70,75,0,70,174,29,True
2024-12-07,50,57,0,50,178,54,True
2024-12-08,60,100,0,60,182,64,True
2024-12-09,58,89,0,58,150,26,True
2024-12-10,62,89,0,62,125,37,True
2024-12-11,70,84,0,70,138,83,True
2024-12-12,65,107,0,65,165,92,True
2024-12-13,62,74,0,62,150,47,True
2024-12-14,67,69,0,67,144,61,True
2024-12-15,55,85,0,55,184,95,True
2024-12-16,69,73,0,69,170,55,True
2024-12-17,51,74,0,51,184,65,True
2024-12-18,66,68,0,66,191,73,True
2024-12-19,72,84,0,72,207,88,True
2024-12-20,53,65,0,53,187,33,True
2024-12-21,73,87,0,73,173,59,True
2024-12-22,62,66,0,62,207,96,True
2024-12-23,61,81,0,61,216,70,True
2024-12-24,64,82,0,64,200,48,True
2024-12-25,64,102,0,64,216,80,True
2024-12-26,74,73,0,74,187,45,True
2024-12-27,58,80,0,58,205,76,True
2024-12-28,44,98,0,44,218,57,True
2024-12-29,56,67,0,56,197,35,True
2024-12-30,67,80,0,67,170,40,True
2024-12-31,48,75,0,48,207,85,True
