date,kunlun_2280_sales,server_2288hv7_sales,server_2288hv7_uses_pac900s12_b2_1,pac900s12_b2_1_consumption,pac900s12_b2_1_inventory,pac900s12_b2_1_procurement,is_decline_period
2024-08-03,86,67,1,153,0,104,False
2024-08-04,99,82,1,181,0,151,False
2024-08-05,85,91,1,176,0,115,False
2024-08-06,99,88,1,187,0,97,False
2024-08-07,105,81,1,186,0,129,False
2024-08-08,104,109,1,213,0,107,False
2024-08-09,92,72,1,164,0,108,False
2024-08-10,90,94,1,184,0,148,False
2024-08-11,91,70,1,161,0,129,False
2024-08-12,91,87,1,178,0,124,False
2024-08-13,77,98,1,175,0,155,False
2024-08-14,90,75,1,165,0,125,False
2024-08-15,105,87,1,192,0,160,False
2024-08-16,97,70,1,167,0,92,False
2024-08-17,89,79,1,168,0,155,False
2024-08-18,92,82,1,174,0,119,False
2024-08-19,117,110,1,227,0,109,False
2024-08-20,92,92,1,184,0,133,False
2024-08-21,127,87,1,214,0,112,False
2024-08-22,108,93,1,201,0,136,False
2024-08-23,107,92,1,199,0,143,False
2024-08-24,120,87,1,207,0,116,False
2024-08-25,102,94,1,196,0,103,False
2024-08-26,105,75,1,180,0,120,False
2024-08-27,119,82,1,201,0,120,False
2024-08-28,79,88,1,167,0,132,False
2024-08-29,132,76,1,208,0,124,False
2024-08-30,103,98,1,201,0,118,False
2024-08-31,104,87,1,191,0,123,False
2024-09-01,93,82,1,175,0,141,False
2024-09-02,84,81,1,165,0,105,False
2024-09-03,117,61,1,178,0,108,False
2024-09-04,105,98,1,203,0,118,False
2024-09-05,91,102,1,193,0,91,False
2024-09-06,67,85,1,152,0,109,False
2024-09-07,84,88,1,172,0,124,False
2024-09-08,91,64,1,155,0,137,False
2024-09-09,109,78,1,187,0,156,False
2024-09-10,83,61,1,144,0,106,False
2024-09-11,99,82,1,181,0,115,False
2024-09-12,105,64,1,169,0,148,False
2024-09-13,98,93,1,191,0,126,False
2024-09-14,106,86,1,192,0,128,False
2024-09-15,109,95,1,204,0,123,False
2024-09-16,110,78,1,188,0,148,False
2024-09-17,89,101,1,190,0,119,False
2024-09-18,78,81,1,159,0,106,False
2024-09-19,112,72,1,184,0,111,False
2024-09-20,71,74,1,145,0,71,False
2024-09-21,76,89,1,165,0,135,False
2024-09-22,106,68,1,174,0,119,False
2024-09-23,99,66,1,165,0,150,False
2024-09-24,113,77,1,190,0,120,False
2024-09-25,103,55,1,158,0,115,False
2024-09-26,89,67,1,156,0,114,False
2024-09-27,126,87,1,213,0,108,False
2024-09-28,108,96,1,204,0,138,False
2024-09-29,100,72,1,172,0,133,False
2024-09-30,105,90,1,195,0,132,False
2024-10-01,115,73,1,188,0,146,False
2024-10-02,102,104,1,206,0,106,False
2024-10-03,126,82,1,208,0,106,False
2024-10-04,92,76,1,168,0,128,False
2024-10-05,107,73,1,180,0,119,False
2024-10-06,132,100,1,232,0,128,False
2024-10-07,100,81,1,181,0,132,False
2024-10-08,84,76,1,160,0,86,False
2024-10-09,105,87,1,192,0,110,False
2024-10-10,123,65,1,188,0,90,False
2024-10-11,103,92,1,195,0,153,False
2024-10-12,93,92,1,185,0,119,False
2024-10-13,97,90,1,187,0,133,False
2024-10-14,76,97,1,173,0,147,False
2024-10-15,90,84,1,174,0,129,False
2024-10-16,103,73,1,176,0,106,False
2024-10-17,99,94,1,193,0,130,False
2024-10-18,94,89,1,183,0,63,False
2024-10-19,117,59,1,176,0,112,False
2024-10-20,83,64,1,147,0,143,False
2024-10-21,92,84,1,176,0,119,False
2024-10-22,107,80,1,187,0,94,False
2024-10-23,114,74,1,188,0,88,False
2024-10-24,93,98,1,191,0,137,False
2024-10-25,94,75,1,169,0,113,False
2024-10-26,131,84,1,215,0,128,False
2024-10-27,115,82,1,197,0,114,False
2024-10-28,97,79,1,176,0,119,False
2024-10-29,110,80,1,190,0,134,False
2024-10-30,98,80,1,178,0,80,False
2024-10-31,113,84,1,197,0,139,False
2024-11-01,33,105,1,138,0,117,True
2024-11-02,69,67,1,136,0,132,True
2024-11-03,50,72,1,122,36,158,True
2024-11-04,58,82,1,140,33,137,True
2024-11-05,64,81,1,145,15,127,True
2024-11-06,81,79,1,160,0,124,True
2024-11-07,69,93,1,162,0,143,True
2024-11-08,65,66,1,131,21,152,True
2024-11-09,49,83,1,132,0,104,True
2024-11-10,59,83,1,142,0,126,True
2024-11-11,63,99,1,162,0,129,True
2024-11-12,57,91,1,148,0,143,True
2024-11-13,48,87,1,135,0,134,True
2024-11-14,57,96,1,153,0,116,True
2024-11-15,61,77,1,138,0,120,True
2024-11-16,50,62,1,112,39,151,True
2024-11-17,52,68,1,120,0,76,True
2024-11-18,54,64,1,118,34,152,True
2024-11-19,69,71,1,140,59,165,True
2024-11-20,68,76,1,144,0,70,True
2024-11-21,80,63,1,143,0,87,True
2024-11-22,69,109,1,178,0,147,True
2024-11-23,65,87,1,152,0,137,True
2024-11-24,66,83,1,149,0,122,True
2024-11-25,59,70,1,129,0,114,True
2024-11-26,44,78,1,122,0,100,True
2024-11-27,50,82,1,132,15,147,True
2024-11-28,68,61,1,129,0,100,True
2024-11-29,68,68,1,136,0,115,True
2024-11-30,64,68,1,132,0,122,True
2024-12-01,47,72,1,119,7,126,True
2024-12-02,45,85,1,130,0,119,True
2024-12-03,64,82,1,146,1,147,True
2024-12-04,61,74,1,135,0,122,True
2024-12-05,64,80,1,144,0,120,True
2024-12-06,53,72,1,125,0,91,True
2024-12-07,75,65,1,140,0,106,True
2024-12-08,53,90,1,143,0,114,True
2024-12-09,71,71,1,142,0,125,True
2024-12-10,52,105,1,157,0,96,True
2024-12-11,62,87,1,149,0,128,True
2024-12-12,58,78,1,136,0,120,True
2024-12-13,58,91,1,149,15,164,True
2024-12-14,54,63,1,117,16,118,True
2024-12-15,83,70,1,153,15,152,True
2024-12-16,75,73,1,148,0,131,True
2024-12-17,74,75,1,149,0,115,True
2024-12-18,54,67,1,121,0,107,True
2024-12-19,48,80,1,128,0,104,True
2024-12-20,62,61,1,123,3,126,True
2024-12-21,67,56,1,123,7,127,True
2024-12-22,71,65,1,136,24,153,True
2024-12-23,63,71,1,134,8,118,True
2024-12-24,65,80,1,145,0,130,True
2024-12-25,51,82,1,133,0,91,True
2024-12-26,58,69,1,127,0,105,True
2024-12-27,71,93,1,164,0,132,True
2024-12-28,50,76,1,126,18,144,True
2024-12-29,61,107,1,168,0,127,True
2024-12-30,61,76,1,137,0,122,True
2024-12-31,58,88,1,146,0,139,True
