date,month,day,product_a_sales_quantity,product_a_production_quantity,product_b_sales_quantity,product_b_production_quantity,component_a_inventory_level,component_a_inventory_turnover_rate,component_a_commonality,component_a_utilization_ratio_for_product_a,component_a_utilization_ratio_for_product_b,component_a1_inventory_level,component_a1_inventory_turnover_rate,component_a1_commonality,component_a1_utilization_ratio_for_product_b
2026-11-13,11,13,82,79,88,87,251,0.62063162480527,2,0.7855790143032669,0.0005546576948068261,190,0.6012772162763123,1,0.6776656437905354
2026-11-14,11,14,93,91,93,101,285,0.7876431570629439,2,0.7581941021615096,0.004658238721665923,158,0.6943131648931384,1,0.6684344885808625
2026-11-15,11,15,82,83,99,101,226,0.6982058494603867,2,0.8262690255184275,0.006285762522123178,208,0.5656625199799976,1,0.7452859467339251
2026-11-16,11,16,114,119,78,75,235,0.6802257023917826,2,0.8133858038481238,0.009989305164818866,157,0.5265513683307117,1,0.6920540701020362
2026-11-17,11,17,92,88,65,66,263,0.7629973625065396,2,0.8863377257181648,0.0005158624535960099,182,0.6134132684629428,1,0.6672858103352798
2026-11-18,11,18,100,95,62,67,262,0.7405120346214185,2,0.8322443716297377,0.0035254167757400026,160,0.5337948722994191,1,0.6274284606339273
2026-11-19,11,19,83,87,74,77,228,0.621220073341453,2,0.7395168463226143,0.009627912562822694,175,0.5462724615215557,1,0.7616425518192164
2026-11-20,11,20,109,115,89,84,261,0.6580730951811533,2,0.8422360952808501,0.00713939755931074,202,0.5522922546976158,1,0.6742931737623438
2026-11-21,11,21,100,102,71,68,289,0.7391354322961964,2,0.886702240185953,0.001511635495293382,180,0.594419221722251,1,0.7998388269385477
2026-11-22,11,22,86,93,83,92,236,0.6030985779386305,2,0.8568303212097359,0.0030919054583742177,151,0.6248210282942931,1,0.7710269903579243
2026-11-23,11,23,109,105,78,83,277,0.799842649110819,2,0.7922388224899586,0.004855128207482804,244,0.645041526163205,1,0.7907375967115002
2026-11-24,11,24,88,83,69,71,217,0.7209016155710928,2,0.8756128185910393,0.0003246748115655818,241,0.6477368452268849,1,0.7339246946981087
2026-11-25,11,25,88,96,64,67,209,0.7099503162672631,2,0.7451186445956075,0.002724421049515723,159,0.6650554512070209,1,0.7363517220889755
2026-11-26,11,26,81,78,66,73,225,0.6743360645158428,2,0.8846950617894208,0.009267697165180569,155,0.5723142194786441,1,0.6292521832891917
2026-11-27,11,27,116,121,66,73,200,0.7829902368644701,2,0.728180889700665,0.007769070806008216,169,0.5117258575409169,1,0.6251884422504926
2026-11-28,11,28,88,93,64,66,247,0.7189214431638129,2,0.7984465174181816,0.0005460221793822318,244,0.5838446238580183,1,0.6613675250930648
2026-11-29,11,29,108,114,83,90,254,0.6225997841094797,2,0.8725634279973769,7.49063659345639e-05,191,0.6710479155824545,1,0.7234475290890389
2026-11-30,11,30,104,112,62,65,263,0.6037637751854376,2,0.7414007897973366,0.003963460242497201,164,0.509876710259715,1,0.7374662776102372
2026-12-01,12,1,39,44,75,83,433,0.3423259751167418,2,0.545044869773654,0.001771248108556276,217,0.552426830193386,1,0.6349524664387901
2026-12-02,12,2,43,42,97,106,585,0.3934495429141921,2,0.5562197405118532,0.0049949037285593875,226,0.5527921268791107,1,0.6131716073327473
2026-12-03,12,3,42,48,96,98,467,0.30196853018763353,2,0.4087989400507119,0.009167779215657671,221,0.6075057104904351,1,0.6788883134557213
2026-12-04,12,4,37,44,83,88,469,0.48903019998277053,2,0.5455432280914916,0.008037423521684333,208,0.7494108107311005,1,0.6160257920123663
2026-12-05,12,5,43,41,76,85,465,0.4370851154678307,2,0.5821730297411323,0.002681073497948511,171,0.6806871456290768,1,0.7189763618323564
2026-12-06,12,6,32,37,68,71,545,0.4452531537069985,2,0.5825492490302917,0.007509726575684249,256,0.5594720427197071,1,0.7554243729802463
2026-12-07,12,7,39,48,97,96,478,0.40936627520350377,2,0.48248792766765636,0.0026380799858787786,180,0.6467715919942326,1,0.6383409827546017
2026-12-08,12,8,36,41,67,65,525,0.4232106185113986,2,0.4507883585492174,0.009210955462587515,240,0.6037307670995739,1,0.7178382108528507
2026-12-09,12,9,31,31,94,91,483,0.4373054181699242,2,0.40941637741885095,0.006463587201686245,237,0.6075315121268166,1,0.7985760236367567
2026-12-10,12,10,31,30,87,88,492,0.3174638546410597,2,0.5256659075744029,0.0038393603521287203,197,0.5588675656004335,1,0.6065171656828195
2026-12-11,12,11,39,46,70,68,571,0.3442784880582464,2,0.45023531742998585,0.00209338636700136,232,0.7422309085632448,1,0.744041278387947
2026-12-12,12,12,33,34,77,80,486,0.4497403445496634,2,0.5745966605671,0.007792972642844803,249,0.711760870788695,1,0.6542412837625795
2026-12-13,12,13,31,29,65,69,443,0.42255933871124407,2,0.5218478032670991,0.0012619022127454815,171,0.7089189567498679,1,0.7690948248179446
2026-12-14,12,14,30,37,91,86,473,0.49766414985659513,2,0.4231894662124476,0.006112361630547442,238,0.5797127884672084,1,0.7684868055616959
2026-12-15,12,15,30,27,94,89,556,0.42450756226475855,2,0.4058943681477803,0.0033112120430591843,160,0.6570847440783909,1,0.6913583449818399
2026-12-16,12,16,45,44,61,57,561,0.488268883821074,2,0.574756966979057,0.00903747926439901,166,0.5519616224877225,1,0.7546963634953647
2026-12-17,12,17,39,42,96,95,416,0.3910343228556426,2,0.5501871507756029,0.008537964190075529,165,0.6256823163945581,1,0.6877134284165055
2026-12-18,12,18,45,51,96,94,541,0.42931683162150525,2,0.5102322891052583,0.00493535200562462,209,0.7000955801929478,1,0.7214981643716517
2026-12-19,12,19,31,29,71,70,465,0.38149700311216383,2,0.5396908099862071,0.0017094868085505922,208,0.5532007440451624,1,0.7583826672777423
2026-12-20,12,20,37,46,80,82,456,0.46706294199218457,2,0.4488852934822579,0.008171213533635,234,0.7226040872695983,1,0.6012936698384699
2026-12-21,12,21,30,29,70,66,574,0.48101162299040834,2,0.5521972730166007,0.0037839984148111527,256,0.7128872600238122,1,0.7813829225743045
2026-12-22,12,22,31,30,79,81,481,0.3049241709629544,2,0.587923733381657,0.008678143194173761,185,0.7330098953348827,1,0.7727495314526217
2026-12-23,12,23,33,29,99,105,519,0.4633542516922272,2,0.5790174963683585,0.000977894292091791,252,0.6318830483645563,1,0.7308491178473637
2026-12-24,12,24,48,44,73,74,558,0.3865211227928172,2,0.5615019258884267,0.0035517230715412006,230,0.7376081773282955,1,0.7696909647830785
2026-12-25,12,25,47,56,78,86,584,0.3842036725988497,2,0.5575977361898522,0.003158367199129273,200,0.6220595167084719,1,0.6062176953036525
2026-12-26,12,26,45,47,63,63,446,0.30368794488532547,2,0.4108387389596236,0.0026952144012774228,177,0.569747705934531,1,0.6996665000295962
2026-12-27,12,27,34,33,64,67,448,0.46315675354680474,2,0.5188586269577885,0.009798120651153566,234,0.7085845299000538,1,0.7464124559732953
2026-12-28,12,28,32,30,76,72,523,0.35268254601641835,2,0.4343427366033134,0.005124783112739863,247,0.6072897864475989,1,0.7612003750768481
2026-12-29,12,29,44,40,82,84,444,0.4097817448774993,2,0.48972147359582996,0.0028760402485928905,174,0.7425547220678441,1,0.6614855893374927
2026-12-30,12,30,43,39,87,89,560,0.4035485879689589,2,0.47704439067513843,0.0034376405492703866,169,0.6294664299090811,1,0.6654960940026979
2026-12-31,12,31,30,39,96,104,445,0.32927636881966027,2,0.5545968936274513,0.0019441406681054852,223,0.672902214332563,1,0.7503706550504448
